timestamp_optimized,arm_order,arm1,arm2,arm3,timestamp_measured,power_dbm
2026-06-10T23:20:37+02:00,QHQ,153,24,29,2026-06-10T23:20:42+02:00,-29.8535
2026-06-10T23:25:26+02:00,HQQ,28,64,106,2026-06-10T23:25:31+02:00,-31.8934
2026-06-10T23:30:32+02:00,QHQ,13,65,85,2026-06-10T23:30:37+02:00,-28.3426
2026-06-10T23:35:30+02:00,HQQ,154,152,100,2026-06-10T23:35:35+02:00,-28.8282
2026-06-10T23:40:36+02:00,QHQ,10,29,99,2026-06-10T23:40:41+02:00,-29.2282
2026-06-10T23:45:35+02:00,HQQ,87,3,0,2026-06-10T23:45:40+02:00,-20.994
2026-06-10T23:50:30+02:00,QHQ,21,58,100,2026-06-10T23:50:35+02:00,-30.3313
2026-06-10T23:55:27+02:00,HQQ,111,103,135,2026-06-10T23:55:32+02:00,-29.7357
2026-06-11T00:00:27+02:00,QHQ,49,97,91,2026-06-11T00:00:32+02:00,-31.333
2026-06-11T00:05:24+02:00,HQQ,91,120,84,2026-06-11T00:05:29+02:00,-30.2825
2026-06-11T00:10:26+02:00,QHQ,12,61,79,2026-06-11T00:10:31+02:00,-30.3313
2026-06-11T00:15:35+02:00,HQQ,154,123,135,2026-06-11T00:15:40+02:00,-26.3942
2026-06-11T00:20:34+02:00,QHQ,154,152,93,2026-06-11T00:20:39+02:00,-26.8353
2026-06-11T00:25:36+02:00,HQQ,8,10,80,2026-06-11T00:25:41+02:00,-25.6202
2026-06-11T00:30:25+02:00,QHQ,32,76,89,2026-06-11T00:30:30+02:00,-29.0236
2026-06-11T00:35:26+02:00,HQQ,92,118,77,2026-06-11T00:35:31+02:00,-29.751
2026-06-11T00:40:28+02:00,QHQ,126,133,78,2026-06-11T00:40:33+02:00,-29.0969
2026-06-11T00:45:26+02:00,HQQ,33,68,94,2026-06-11T00:45:31+02:00,-29.7787
2026-06-11T00:50:37+02:00,QHQ,154,19,18,2026-06-11T00:50:42+02:00,-28.5564
2026-06-11T00:55:31+02:00,HQQ,111,99,129,2026-06-11T00:55:36+02:00,-29.2665
